#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,location,serial_number
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:00:00Z,60,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:15:00Z,60.1,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:30:00Z,60.1,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T00:45:00Z,60.2,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:00:00Z,60.2,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:15:00Z,60.3,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:30:00Z,60.2,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T01:45:00Z,60.2,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:00:00Z,60.2,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:15:00Z,60.1,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
,,0,2025-04-04T00:00:00Z,2025-04-11T00:00:00Z,2025-04-04T02:30:00Z,60.1,load_percent,refrigerator,freezer,ZMMB6CK2P7AIJF4
